Timestamp|Replay Lag (microseconds)
2021-09-23 13:56:29.723992+00|46
2021-09-23 13:56:30.804891+00|164
2021-09-23 13:56:31.871816+00|172
2021-09-23 13:56:32.944269+00|172714
2021-09-23 13:56:34.022509+00|713260
2021-09-23 13:56:35.102454+00|957755
2021-09-23 13:56:36.181379+00|1204702
2021-09-23 13:56:37.263638+00|1214762
2021-09-23 13:56:38.347969+00|686172
2021-09-23 13:56:39.431593+00|220998
2021-09-23 13:56:40.519058+00|21304
2021-09-23 13:56:41.589727+00|182
2021-09-23 13:56:42.655661+00|145081
2021-09-23 13:56:43.737251+00|145081
2021-09-23 13:56:44.816247+00|145081
2021-09-23 13:56:45.898818+00|145081
2021-09-23 13:56:46.960849+00|221861
2021-09-23 13:56:48.022689+00|30999
2021-09-23 13:56:49.108768+00|876350
2021-09-23 13:56:50.172222+00|1055
2021-09-23 13:56:51.239194+00|1055
2021-09-23 13:56:52.30267+00|1055
2021-09-23 13:56:53.369849+00|1055
2021-09-23 13:56:54.432482+00|1055
2021-09-23 13:56:55.499895+00|1055
2021-09-23 13:56:56.565819+00|557
2021-09-23 13:56:57.637753+00|557
2021-09-23 13:56:58.699673+00|557
2021-09-23 13:56:59.778018+00|557
2021-09-23 13:57:00.856108+00|557
2021-09-23 13:57:01.935354+00|557
2021-09-23 13:57:03.018679+00|557
2021-09-23 13:57:04.098354+00|557
2021-09-23 13:57:05.183717+00|557
2021-09-23 13:57:06.264812+00|557
2021-09-23 13:57:07.345711+00|
2021-09-23 13:57:08.424614+00|
2021-09-23 13:57:09.50384+00|
2021-09-23 13:57:10.581861+00|
2021-09-23 13:57:11.664525+00|
2021-09-23 13:57:12.745906+00|
2021-09-23 13:57:13.824521+00|
2021-09-23 13:57:14.908261+00|
2021-09-23 13:57:15.98856+00|
2021-09-23 13:57:17.072689+00|
2021-09-23 13:57:18.154447+00|
2021-09-23 13:57:19.233951+00|
2021-09-23 13:57:20.313788+00|
2021-09-23 13:57:21.391833+00|
2021-09-23 13:57:22.472088+00|
2021-09-23 13:57:23.554611+00|
2021-09-23 13:57:24.634847+00|
2021-09-23 13:57:25.714153+00|
2021-09-23 13:57:26.794371+00|
2021-09-23 13:57:27.876591+00|
2021-09-23 13:57:28.958796+00|
2021-09-23 13:57:30.039204+00|
2021-09-23 13:57:31.118299+00|
2021-09-23 13:57:32.200208+00|
2021-09-23 13:57:33.282858+00|
2021-09-23 13:57:34.365288+00|
2021-09-23 13:57:35.443657+00|
2021-09-23 13:57:36.526166+00|
2021-09-23 13:57:37.607748+00|
