Timestamp|Replay Lag (microseconds)
2021-09-13 17:23:18.691532+00|29049
2021-09-13 17:23:19.728006+00|3602
2021-09-13 17:23:20.762175+00|11257
2021-09-13 17:23:21.795218+00|3567
2021-09-13 17:23:22.830648+00|1744
2021-09-13 17:23:23.866182+00|3561
2021-09-13 17:23:24.900919+00|3932
2021-09-13 17:23:25.936214+00|63
2021-09-13 17:23:26.968526+00|1612
2021-09-13 17:23:28.002625+00|2648
2021-09-13 17:23:29.035275+00|3159
2021-09-13 17:23:30.06698+00|5280
2021-09-13 17:23:31.09804+00|8993
2021-09-13 17:23:32.130306+00|9576
2021-09-13 17:23:33.163322+00|4972
2021-09-13 17:23:34.19513+00|6899
2021-09-13 17:23:35.226233+00|9225
2021-09-13 17:23:36.259173+00|10934
2021-09-13 17:23:37.290481+00|7602
2021-09-13 17:23:38.322698+00|28333
2021-09-13 17:23:39.354774+00|9543
2021-09-13 17:23:40.388683+00|4720
2021-09-13 17:23:41.420709+00|4715
2021-09-13 17:23:42.452181+00|6920
2021-09-13 17:23:43.483467+00|12455
2021-09-13 17:23:44.516331+00|9478
2021-09-13 17:23:45.547673+00|6882
2021-09-13 17:23:46.579559+00|10528
2021-09-13 17:23:47.611055+00|6868
2021-09-13 17:23:48.642981+00|7308
2021-09-13 17:23:49.675796+00|11550
2021-09-13 17:23:50.707693+00|6652
2021-09-13 17:23:51.739294+00|4789
2021-09-13 17:23:52.770528+00|12779
2021-09-13 17:23:53.803137+00|8910
2021-09-13 17:23:54.834286+00|4822
2021-09-13 17:23:55.865343+00|8280
2021-09-13 17:23:56.896825+00|11184
2021-09-13 17:23:57.928202+00|12369
2021-09-13 17:23:58.959463+00|7596
2021-09-13 17:23:59.992737+00|64265
2021-09-13 17:24:01.025353+00|2756
2021-09-13 17:24:02.057258+00|9944
2021-09-13 17:24:03.090716+00|66459
2021-09-13 17:24:04.122351+00|6876
2021-09-13 17:24:05.154826+00|10999
2021-09-13 17:24:06.1873+00|6994
2021-09-13 17:24:07.220347+00|11355
2021-09-13 17:24:08.252068+00|11669
2021-09-13 17:24:09.284637+00|11883
2021-09-13 17:24:10.31614+00|6911
2021-09-13 17:24:11.348625+00|11403
2021-09-13 17:24:12.380658+00|11611
2021-09-13 17:24:13.41223+00|14130
2021-09-13 17:24:14.443552+00|11614
2021-09-13 17:24:15.475155+00|11137
2021-09-13 17:24:16.506577+00|11498
2021-09-13 17:24:17.537944+00|6814
2021-09-13 17:24:18.570658+00|10495
2021-09-13 17:24:19.602078+00|7423
2021-09-13 17:24:20.633454+00|10954
