Timestamp|Replay Lag (microseconds)
2021-09-13 16:37:29.503745+00|17172
2021-09-13 16:37:30.548732+00|1046
2021-09-13 16:37:31.584203+00|3818
2021-09-13 16:37:32.619015+00|1604
2021-09-13 16:37:33.651875+00|991
2021-09-13 16:37:34.684902+00|908
2021-09-13 16:37:35.722076+00|3915
2021-09-13 16:37:36.754988+00|67
2021-09-13 16:37:37.787166+00|3394
2021-09-13 16:37:38.820569+00|965
2021-09-13 16:37:39.85177+00|8063
2021-09-13 16:37:40.883383+00|10925
2021-09-13 16:37:41.915046+00|6823
2021-09-13 16:37:42.947186+00|5887
2021-09-13 16:37:43.97867+00|11981
2021-09-13 16:37:45.010091+00|7297
2021-09-13 16:37:46.042065+00|11495
2021-09-13 16:37:47.074132+00|7754
2021-09-13 16:37:48.106649+00|11061
2021-09-13 16:37:49.13893+00|12420
2021-09-13 16:37:50.170621+00|5039
2021-09-13 16:37:51.203473+00|10741
2021-09-13 16:37:52.235228+00|11119
2021-09-13 16:37:53.267482+00|2315
2021-09-13 16:37:54.298937+00|11384
2021-09-13 16:37:55.330095+00|68
2021-09-13 16:37:56.362047+00|6270
2021-09-13 16:37:57.393726+00|94
2021-09-13 16:37:58.425204+00|5105
2021-09-13 16:37:59.45715+00|7614
2021-09-13 16:38:00.49174+00|7061
2021-09-13 16:38:01.523591+00|11496
2021-09-13 16:38:02.556533+00|11369
2021-09-13 16:38:03.590878+00|4996
2021-09-13 16:38:04.622468+00|12156
2021-09-13 16:38:05.654074+00|9849
2021-09-13 16:38:06.685347+00|9243
2021-09-13 16:38:07.716468+00|11194
2021-09-13 16:38:08.748208+00|11574
2021-09-13 16:38:09.779278+00|11323
2021-09-13 16:38:10.810654+00|10314
2021-09-13 16:38:11.842061+00|7004
2021-09-13 16:38:12.873556+00|11732
2021-09-13 16:38:13.908322+00|11509
2021-09-13 16:38:14.953628+00|10830
2021-09-13 16:38:15.986335+00|8221
2021-09-13 16:38:17.01874+00|12335
2021-09-13 16:38:18.049798+00|10150
2021-09-13 16:38:19.08092+00|10615
2021-09-13 16:38:20.114248+00|90
2021-09-13 16:38:21.145452+00|5244
2021-09-13 16:38:22.1765+00|10871
2021-09-13 16:38:23.208084+00|11296
2021-09-13 16:38:24.239831+00|10928
2021-09-13 16:38:25.271486+00|11943
2021-09-13 16:38:26.302678+00|10914
2021-09-13 16:38:27.333726+00|69
2021-09-13 16:38:28.365085+00|7406
2021-09-13 16:38:29.396624+00|11323
2021-09-13 16:38:30.427583+00|11452
2021-09-13 16:38:31.459294+00|4853
