Timestamp|Replay Lag (microseconds)
2021-09-13 18:05:19.440547+00|17112
2021-09-13 18:05:20.47874+00|93516
2021-09-13 18:05:21.516145+00|948297
2021-09-13 18:05:22.549466+00|1428931
2021-09-13 18:05:23.582322+00|1920784
2021-09-13 18:05:24.615751+00|2658676
2021-09-13 18:05:25.649748+00|3019881
2021-09-13 18:05:26.68263+00|3696675
2021-09-13 18:05:27.71593+00|4175979
2021-09-13 18:05:28.750401+00|4902631
2021-09-13 18:05:29.782821+00|5334240
2021-09-13 18:05:30.817126+00|5968861
2021-09-13 18:05:31.849015+00|6270032
2021-09-13 18:05:32.880907+00|6833702
2021-09-13 18:05:33.913132+00|7219408
2021-09-13 18:05:34.947946+00|7569682
2021-09-13 18:05:35.982911+00|8143914
2021-09-13 18:05:37.015155+00|8564312
2021-09-13 18:05:38.04805+00|8859433
2021-09-13 18:05:39.081678+00|9422436
2021-09-13 18:05:40.113793+00|9795545
2021-09-13 18:05:41.145687+00|10305362
2021-09-13 18:05:42.178351+00|10638359
2021-09-13 18:05:43.212858+00|10657437
2021-09-13 18:05:44.245192+00|10710168
2021-09-13 18:05:45.278665+00|10675333
2021-09-13 18:05:46.310787+00|10906814
2021-09-13 18:05:47.343613+00|10711419
2021-09-13 18:05:48.376826+00|10890167
2021-09-13 18:05:49.411381+00|10690215
2021-09-13 18:05:50.44333+00|10186610
2021-09-13 18:05:51.480327+00|9746876
2021-09-13 18:05:52.512732+00|9730280
2021-09-13 18:05:53.548383+00|9292923
2021-09-13 18:05:54.582614+00|9296349
2021-09-13 18:05:55.614421+00|9144437
2021-09-13 18:05:56.646877+00|8772914
2021-09-13 18:05:57.678149+00|8434971
2021-09-13 18:05:58.710085+00|8183746
2021-09-13 18:05:59.742386+00|7350733
2021-09-13 18:06:00.774089+00|6997034
2021-09-13 18:06:01.808612+00|6513971
2021-09-13 18:06:02.84366+00|6482370
2021-09-13 18:06:03.876096+00|6410918
2021-09-13 18:06:04.914125+00|6116140
2021-09-13 18:06:05.948155+00|5977297
2021-09-13 18:06:06.979706+00|5666785
2021-09-13 18:06:08.011222+00|5905206
2021-09-13 18:06:09.042605+00|6830331
2021-09-13 18:06:10.07478+00|7022050
2021-09-13 18:06:11.106764+00|7385689
2021-09-13 18:06:12.138836+00|7590762
2021-09-13 18:06:13.170414+00|8241827
2021-09-13 18:06:14.202884+00|8528024
2021-09-13 18:06:15.234858+00|8723641
2021-09-13 18:06:16.266591+00|8409587
2021-09-13 18:06:17.299605+00|8078986
2021-09-13 18:06:18.331506+00|7607136
2021-09-13 18:06:19.364031+00|7153043
2021-09-13 18:06:20.39626+00|6658115
2021-09-13 18:06:21.428871+00|6139484
