Timestamp|Replay Lag (microseconds)
2021-09-13 17:18:01.848993+00|1083
2021-09-13 17:18:02.885489+00|3927
2021-09-13 17:18:03.919376+00|2129
2021-09-13 17:18:04.954381+00|1586
2021-09-13 17:18:05.989987+00|3447
2021-09-13 17:18:07.023116+00|64
2021-09-13 17:18:08.056969+00|73
2021-09-13 17:18:09.091492+00|3860
2021-09-13 17:18:10.12543+00|3473
2021-09-13 17:18:11.161335+00|2313
2021-09-13 17:18:12.195381+00|1621
2021-09-13 17:18:13.235182+00|1010
2021-09-13 17:18:14.271626+00|3369
2021-09-13 17:18:15.304006+00|6670
2021-09-13 17:18:16.336823+00|8356
2021-09-13 17:18:17.368836+00|80
2021-09-13 17:18:18.401734+00|2500
2021-09-13 17:18:19.433482+00|3235
2021-09-13 17:18:20.465578+00|11523
2021-09-13 17:18:21.496953+00|4662
2021-09-13 17:18:22.528565+00|7005
2021-09-13 17:18:23.562132+00|5105
2021-09-13 17:18:24.593838+00|11429
2021-09-13 17:18:25.625023+00|6959
2021-09-13 17:18:26.656791+00|80
2021-09-13 17:18:27.689344+00|10217
2021-09-13 17:18:28.720951+00|62
2021-09-13 17:18:29.754168+00|79
2021-09-13 17:18:30.785902+00|10513
2021-09-13 17:18:31.817493+00|12180
2021-09-13 17:18:32.848848+00|11569
2021-09-13 17:18:33.88077+00|10676
2021-09-13 17:18:34.914099+00|11132
2021-09-13 17:18:35.945963+00|10953
2021-09-13 17:18:36.977605+00|8124
2021-09-13 17:18:38.012145+00|9641
2021-09-13 17:18:39.043865+00|11851
2021-09-13 17:18:40.075804+00|11700
2021-09-13 17:18:41.107574+00|11484
2021-09-13 17:18:42.139607+00|89
2021-09-13 17:18:43.176406+00|15802
2021-09-13 17:18:44.210863+00|7524
2021-09-13 17:18:45.242451+00|6816
2021-09-13 17:18:46.273999+00|10035
2021-09-13 17:18:47.305919+00|8696
2021-09-13 17:18:48.337248+00|11245
2021-09-13 17:18:49.368506+00|14719
2021-09-13 17:18:50.399863+00|11257
2021-09-13 17:18:51.43171+00|8736
2021-09-13 17:18:52.462915+00|10718
2021-09-13 17:18:53.494023+00|6667
2021-09-13 17:18:54.525129+00|12083
2021-09-13 17:18:55.560611+00|11015
2021-09-13 17:18:56.592168+00|10774
2021-09-13 17:18:57.624087+00|10872
2021-09-13 17:18:58.656031+00|6852
2021-09-13 17:18:59.687023+00|8050
2021-09-13 17:19:00.719186+00|5044
2021-09-13 17:19:01.750507+00|11547
2021-09-13 17:19:02.782572+00|2484
2021-09-13 17:19:03.813919+00|11143
