Timestamp|Replay Lag (microseconds)
2021-09-13 17:28:34.745072+00|23119
2021-09-13 17:28:35.787111+00|5464
2021-09-13 17:28:36.819226+00|33077
2021-09-13 17:28:37.852848+00|13337
2021-09-13 17:28:38.887938+00|4719
2021-09-13 17:28:39.92169+00|182151
2021-09-13 17:28:40.955054+00|76615
2021-09-13 17:28:41.988421+00|809
2021-09-13 17:28:43.022063+00|87251
2021-09-13 17:28:44.057735+00|4720
2021-09-13 17:28:45.089318+00|4506
2021-09-13 17:28:46.121339+00|6715
2021-09-13 17:28:47.15524+00|1537
2021-09-13 17:28:48.19001+00|6797
2021-09-13 17:28:49.221396+00|7001
2021-09-13 17:28:50.256432+00|10975
2021-09-13 17:28:51.290016+00|10655
2021-09-13 17:28:52.321544+00|11528
2021-09-13 17:28:53.35379+00|5332
2021-09-13 17:28:54.385388+00|11659
2021-09-13 17:28:55.41734+00|9682
2021-09-13 17:28:56.449556+00|7610
2021-09-13 17:28:57.481066+00|11229
2021-09-13 17:28:58.513274+00|7364
2021-09-13 17:28:59.546432+00|9514
2021-09-13 17:29:00.578643+00|2884
2021-09-13 17:29:01.610049+00|11427
2021-09-13 17:29:02.64269+00|4937
2021-09-13 17:29:03.675076+00|10433
2021-09-13 17:29:04.720989+00|41050
2021-09-13 17:29:05.753687+00|4698
2021-09-13 17:29:06.787217+00|10111
2021-09-13 17:29:07.819145+00|9549
2021-09-13 17:29:08.851173+00|11480
2021-09-13 17:29:09.88359+00|68
2021-09-13 17:29:10.915698+00|11825
2021-09-13 17:29:11.947337+00|76
2021-09-13 17:29:12.979993+00|6784
2021-09-13 17:29:14.014198+00|10089
2021-09-13 17:29:15.047752+00|226447
2021-09-13 17:29:16.079713+00|11778
2021-09-13 17:29:17.113117+00|2938
2021-09-13 17:29:18.149666+00|23112
2021-09-13 17:29:19.183927+00|24832
2021-09-13 17:29:20.215223+00|11466
2021-09-13 17:29:21.246769+00|78
2021-09-13 17:29:22.27851+00|11386
2021-09-13 17:29:23.310411+00|11038
2021-09-13 17:29:24.342423+00|80
2021-09-13 17:29:25.373553+00|12240
2021-09-13 17:29:26.40519+00|7574
2021-09-13 17:29:27.436531+00|10671
2021-09-13 17:29:28.47314+00|10374
2021-09-13 17:29:29.506032+00|10059
2021-09-13 17:29:30.540591+00|12038
2021-09-13 17:29:31.572092+00|12369
2021-09-13 17:29:32.606548+00|11339
2021-09-13 17:29:33.637673+00|11571
2021-09-13 17:29:34.669222+00|6957
2021-09-13 17:29:35.700981+00|12542
2021-09-13 17:29:36.732336+00|11661
