Timestamp|Replay Lag (microseconds)
2021-09-13 16:50:40.791441+00|816
2021-09-13 16:50:41.835396+00|989
2021-09-13 16:50:42.869091+00|1713
2021-09-13 16:50:43.902833+00|67
2021-09-13 16:50:44.938616+00|2551
2021-09-13 16:50:45.977409+00|53
2021-09-13 16:50:47.010537+00|1608
2021-09-13 16:50:48.046623+00|54
2021-09-13 16:50:49.080929+00|65
2021-09-13 16:50:50.11704+00|72
2021-09-13 16:50:51.152317+00|1548
2021-09-13 16:50:52.186316+00|3081
2021-09-13 16:50:53.220142+00|1777
2021-09-13 16:50:54.253035+00|3332
2021-09-13 16:50:55.287794+00|85
2021-09-13 16:50:56.319449+00|11038
2021-09-13 16:50:57.351612+00|11028
2021-09-13 16:50:58.383223+00|10540
2021-09-13 16:50:59.415564+00|11330
2021-09-13 16:51:00.449645+00|7580
2021-09-13 16:51:01.482451+00|11385
2021-09-13 16:51:02.514989+00|10639
2021-09-13 16:51:03.546246+00|11550
2021-09-13 16:51:04.577607+00|76
2021-09-13 16:51:05.609041+00|11001
2021-09-13 16:51:06.640487+00|9819
2021-09-13 16:51:07.672165+00|10916
2021-09-13 16:51:08.704062+00|68
2021-09-13 16:51:09.737457+00|8761
2021-09-13 16:51:10.769782+00|11190
2021-09-13 16:51:11.80263+00|9929
2021-09-13 16:51:12.834227+00|4752
2021-09-13 16:51:13.865997+00|12833
2021-09-13 16:51:14.900115+00|4819
2021-09-13 16:51:15.932481+00|12051
2021-09-13 16:51:16.964651+00|4716
2021-09-13 16:51:17.996147+00|11680
2021-09-13 16:51:19.027013+00|9163
2021-09-13 16:51:20.058344+00|11966
2021-09-13 16:51:21.091366+00|81
2021-09-13 16:51:22.125748+00|6955
2021-09-13 16:51:23.157565+00|4773
2021-09-13 16:51:24.190582+00|7326
2021-09-13 16:51:25.22187+00|12186
2021-09-13 16:51:26.255592+00|11787
2021-09-13 16:51:27.2872+00|11153
2021-09-13 16:51:28.318707+00|9962
2021-09-13 16:51:29.350277+00|9415
2021-09-13 16:51:30.382005+00|11238
2021-09-13 16:51:31.413152+00|9352
2021-09-13 16:51:32.44464+00|12258
2021-09-13 16:51:33.476292+00|10892
2021-09-13 16:51:34.508323+00|7578
2021-09-13 16:51:35.539709+00|9605
2021-09-13 16:51:36.570762+00|2691
2021-09-13 16:51:37.602689+00|10681
2021-09-13 16:51:38.634901+00|11457
2021-09-13 16:51:39.666221+00|13347
2021-09-13 16:51:40.697823+00|12206
2021-09-13 16:51:41.729222+00|11717
2021-09-13 16:51:42.761136+00|8081
