Timestamp|Replay Lag (microseconds)
2021-09-13 17:20:40.451576+00|912
2021-09-13 17:20:41.489654+00|13341
2021-09-13 17:20:42.526127+00|70
2021-09-13 17:20:43.56001+00|3482
2021-09-13 17:20:44.594841+00|888
2021-09-13 17:20:45.629276+00|3795
2021-09-13 17:20:46.662959+00|60
2021-09-13 17:20:47.697766+00|4039
2021-09-13 17:20:48.731948+00|3314
2021-09-13 17:20:49.765218+00|1775
2021-09-13 17:20:50.798944+00|65
2021-09-13 17:20:51.832292+00|2377
2021-09-13 17:20:52.864978+00|2943
2021-09-13 17:20:53.900326+00|1531
2021-09-13 17:20:54.932181+00|8151
2021-09-13 17:20:55.963717+00|9828
2021-09-13 17:20:56.998102+00|8743
2021-09-13 17:20:58.033706+00|18596
2021-09-13 17:20:59.066162+00|10485
2021-09-13 17:21:00.101783+00|4787
2021-09-13 17:21:01.136704+00|9086
2021-09-13 17:21:02.168893+00|11969
2021-09-13 17:21:03.200672+00|7530
2021-09-13 17:21:04.232502+00|11317
2021-09-13 17:21:05.264139+00|7013
2021-09-13 17:21:06.297943+00|4873
2021-09-13 17:21:07.329537+00|7097
2021-09-13 17:21:08.361083+00|11851
2021-09-13 17:21:09.39307+00|11182
2021-09-13 17:21:10.424849+00|9327
2021-09-13 17:21:11.457587+00|11214
2021-09-13 17:21:12.48869+00|60
2021-09-13 17:21:13.522069+00|15216
2021-09-13 17:21:14.553259+00|10799
2021-09-13 17:21:15.585304+00|6783
2021-09-13 17:21:16.621808+00|11940
2021-09-13 17:21:17.653463+00|8482
2021-09-13 17:21:18.684761+00|11481
2021-09-13 17:21:19.71973+00|12041
2021-09-13 17:21:20.752155+00|18602
2021-09-13 17:21:21.783651+00|9932
2021-09-13 17:21:22.818978+00|12713
2021-09-13 17:21:23.850294+00|11313
2021-09-13 17:21:24.882305+00|11399
2021-09-13 17:21:25.913943+00|10400
2021-09-13 17:21:26.945964+00|10684
2021-09-13 17:21:27.977475+00|12157
2021-09-13 17:21:29.009+00|16083
2021-09-13 17:21:30.040937+00|10761
2021-09-13 17:21:31.072279+00|11627
2021-09-13 17:21:32.103743+00|7802
2021-09-13 17:21:33.135641+00|8505
2021-09-13 17:21:34.168551+00|5250
2021-09-13 17:21:35.201144+00|9226
2021-09-13 17:21:36.233045+00|8692
2021-09-13 17:21:37.264273+00|6855
2021-09-13 17:21:38.295731+00|11370
2021-09-13 17:21:39.327014+00|10759
2021-09-13 17:21:40.358569+00|11763
2021-09-13 17:21:41.390489+00|9524
2021-09-13 17:21:42.422248+00|4845
