Timestamp|Replay Lag (microseconds)
2021-09-13 18:07:56.837982+00|1031
2021-09-13 18:07:57.885103+00|182838
2021-09-13 18:07:58.919841+00|841982
2021-09-13 18:07:59.953865+00|1393561
2021-09-13 18:08:00.98962+00|1952383
2021-09-13 18:08:02.023624+00|2313026
2021-09-13 18:08:03.060455+00|3372131
2021-09-13 18:08:04.094885+00|3851143
2021-09-13 18:08:05.128651+00|4466082
2021-09-13 18:08:06.161284+00|5236195
2021-09-13 18:08:07.198339+00|5793704
2021-09-13 18:08:08.230254+00|6387458
2021-09-13 18:08:09.269433+00|6950939
2021-09-13 18:08:10.304307+00|7145382
2021-09-13 18:08:11.338018+00|8108409
2021-09-13 18:08:12.371751+00|8667484
2021-09-13 18:08:13.404692+00|9192088
2021-09-13 18:08:14.436842+00|9585543
2021-09-13 18:08:15.48504+00|9994917
2021-09-13 18:08:16.518094+00|10647098
2021-09-13 18:08:17.549806+00|11210591
2021-09-13 18:08:18.583825+00|11614899
2021-09-13 18:08:19.616828+00|12306446
2021-09-13 18:08:20.650358+00|12864909
2021-09-13 18:08:21.685119+00|13239647
2021-09-13 18:08:22.71831+00|13807903
2021-09-13 18:08:23.752554+00|14199643
2021-09-13 18:08:24.784301+00|14389266
2021-09-13 18:08:25.818911+00|15525379
2021-09-13 18:08:26.851457+00|16081342
2021-09-13 18:08:27.885134+00|16187246
2021-09-13 18:08:28.917328+00|16333848
2021-09-13 18:08:29.948972+00|16339554
2021-09-13 18:08:30.980995+00|16865789
2021-09-13 18:08:32.012672+00|16807741
2021-09-13 18:08:33.044859+00|16759199
2021-09-13 18:08:34.078911+00|16805999
2021-09-13 18:08:35.111872+00|17265392
2021-09-13 18:08:36.146003+00|17397403
2021-09-13 18:08:37.180028+00|17080029
2021-09-13 18:08:38.213649+00|17171030
2021-09-13 18:08:39.24729+00|17020865
2021-09-13 18:08:40.279124+00|17006355
2021-09-13 18:08:41.311889+00|16827345
2021-09-13 18:08:42.353229+00|16775167
2021-09-13 18:08:43.387232+00|16711738
2021-09-13 18:08:44.418726+00|16635051
2021-09-13 18:08:45.450028+00|16506405
2021-09-13 18:08:46.482936+00|16320965
2021-09-13 18:08:47.515277+00|16254317
2021-09-13 18:08:48.547647+00|15874959
2021-09-13 18:08:49.579484+00|15898403
2021-09-13 18:08:50.611062+00|15949638
2021-09-13 18:08:51.642564+00|16045491
2021-09-13 18:08:52.673826+00|15583178
2021-09-13 18:08:53.707765+00|15420353
2021-09-13 18:08:54.740458+00|15291567
2021-09-13 18:08:55.771838+00|16227276
2021-09-13 18:08:56.803525+00|16835048
2021-09-13 18:08:57.835755+00|17333770
2021-09-13 18:08:58.867508+00|17681077
