Timestamp|Replay Lag (microseconds)
2021-09-13 18:00:04.799852+00|3368
2021-09-13 18:00:05.839521+00|37948
2021-09-13 18:00:06.874742+00|490243
2021-09-13 18:00:07.911665+00|595170
2021-09-13 18:00:08.945229+00|964472
2021-09-13 18:00:09.982323+00|1212452
2021-09-13 18:00:11.018011+00|1824810
2021-09-13 18:00:12.052464+00|2143622
2021-09-13 18:00:13.085978+00|2228160
2021-09-13 18:00:14.120442+00|2472605
2021-09-13 18:00:15.153827+00|2764052
2021-09-13 18:00:16.187234+00|2962669
2021-09-13 18:00:17.22102+00|3154304
2021-09-13 18:00:18.258272+00|3580961
2021-09-13 18:00:19.294091+00|3862019
2021-09-13 18:00:20.327748+00|4044020
2021-09-13 18:00:21.360757+00|4328833
2021-09-13 18:00:22.39449+00|4425019
2021-09-13 18:00:23.427776+00|5099282
2021-09-13 18:00:24.462924+00|5170602
2021-09-13 18:00:25.500146+00|4249481
2021-09-13 18:00:26.533337+00|3548319
2021-09-13 18:00:27.565856+00|2784235
2021-09-13 18:00:28.597647+00|1864019
2021-09-13 18:00:29.631414+00|1418641
2021-09-13 18:00:30.665642+00|34831
2021-09-13 18:00:31.699832+00|73
2021-09-13 18:00:32.732834+00|8433
2021-09-13 18:00:33.765403+00|9688
2021-09-13 18:00:34.797437+00|4787
2021-09-13 18:00:35.832647+00|9511
2021-09-13 18:00:36.865341+00|11181
2021-09-13 18:00:37.896811+00|15749
2021-09-13 18:00:38.929106+00|6367
2021-09-13 18:00:39.961337+00|2527
2021-09-13 18:00:40.99319+00|11111
2021-09-13 18:00:42.029289+00|11711
2021-09-13 18:00:43.061055+00|12717
2021-09-13 18:00:44.093173+00|10490
2021-09-13 18:00:45.128001+00|6925
2021-09-13 18:00:46.162824+00|459534
2021-09-13 18:00:47.194935+00|896917
2021-09-13 18:00:48.228223+00|1012909
2021-09-13 18:00:49.259345+00|1256666
2021-09-13 18:00:50.291183+00|914696
2021-09-13 18:00:51.325751+00|9203
2021-09-13 18:00:52.357078+00|9220
2021-09-13 18:00:53.390572+00|12752
2021-09-13 18:00:54.422202+00|66
2021-09-13 18:00:55.454203+00|10605
2021-09-13 18:00:56.487528+00|9998
2021-09-13 18:00:57.519842+00|5064
2021-09-13 18:00:58.552052+00|9155
2021-09-13 18:00:59.586072+00|10477
2021-09-13 18:01:00.631316+00|7769
2021-09-13 18:01:01.662711+00|11113
2021-09-13 18:01:02.693975+00|12006
2021-09-13 18:01:03.725101+00|8694
2021-09-13 18:01:04.75675+00|6950
2021-09-13 18:01:05.788408+00|12189
2021-09-13 18:01:06.819709+00|10622
