Timestamp|Replay Lag (microseconds)
2021-09-13 17:25:57.060928+00|24083
2021-09-13 17:25:58.096652+00|1537
2021-09-13 17:25:59.130632+00|1873
2021-09-13 17:26:00.163936+00|25936
2021-09-13 17:26:01.201191+00|2250
2021-09-13 17:26:02.234637+00|1654
2021-09-13 17:26:03.267336+00|3905
2021-09-13 17:26:04.299066+00|4022
2021-09-13 17:26:05.335115+00|14243
2021-09-13 17:26:06.367679+00|2809
2021-09-13 17:26:07.402645+00|13280
2021-09-13 17:26:08.435771+00|13128
2021-09-13 17:26:09.469301+00|17114
2021-09-13 17:26:10.500901+00|9914
2021-09-13 17:26:11.532322+00|6853
2021-09-13 17:26:12.563725+00|8601
2021-09-13 17:26:13.596255+00|5324
2021-09-13 17:26:14.629923+00|10410
2021-09-13 17:26:15.662325+00|11962
2021-09-13 17:26:16.697469+00|11491
2021-09-13 17:26:17.731388+00|11090
2021-09-13 17:26:18.763223+00|12086
2021-09-13 17:26:19.795772+00|81
2021-09-13 17:26:20.8273+00|7747
2021-09-13 17:26:21.85939+00|6895
2021-09-13 17:26:22.892536+00|8407
2021-09-13 17:26:23.92396+00|7521
2021-09-13 17:26:24.955557+00|8016
2021-09-13 17:26:25.988029+00|11765
2021-09-13 17:26:27.019495+00|7079
2021-09-13 17:26:28.052314+00|12137
2021-09-13 17:26:29.083987+00|7717
2021-09-13 17:26:30.116685+00|12142
2021-09-13 17:26:31.148943+00|6915
2021-09-13 17:26:32.18213+00|6753
2021-09-13 17:26:33.213313+00|11304
2021-09-13 17:26:34.244833+00|10699
2021-09-13 17:26:35.27785+00|12522
2021-09-13 17:26:36.313221+00|12037
2021-09-13 17:26:37.347644+00|16423
2021-09-13 17:26:38.380856+00|5031
2021-09-13 17:26:39.416003+00|145494
2021-09-13 17:26:40.447289+00|8605
2021-09-13 17:26:41.478572+00|7339
2021-09-13 17:26:42.510567+00|11392
2021-09-13 17:26:43.541999+00|11127
2021-09-13 17:26:44.573621+00|12055
2021-09-13 17:26:45.605382+00|69
2021-09-13 17:26:46.640272+00|10865
2021-09-13 17:26:47.671627+00|11460
2021-09-13 17:26:48.703573+00|10953
2021-09-13 17:26:49.735054+00|7062
2021-09-13 17:26:50.767665+00|11443
2021-09-13 17:26:51.799507+00|9927
2021-09-13 17:26:52.831177+00|11604
2021-09-13 17:26:53.862617+00|12197
2021-09-13 17:26:54.893992+00|11173
2021-09-13 17:26:55.925807+00|9719
2021-09-13 17:26:56.957177+00|11818
2021-09-13 17:26:57.989036+00|8120
2021-09-13 17:26:59.021188+00|8866
