Timestamp|Replay Lag (microseconds)
2021-09-13 16:55:56.711957+00|17210
2021-09-13 16:55:57.753575+00|1008
2021-09-13 16:55:58.787594+00|3164
2021-09-13 16:55:59.820837+00|3126
2021-09-13 16:56:00.85619+00|3489
2021-09-13 16:56:01.887944+00|1322
2021-09-13 16:56:02.921205+00|70
2021-09-13 16:56:03.954786+00|3735
2021-09-13 16:56:04.987539+00|852
2021-09-13 16:56:06.024689+00|3996
2021-09-13 16:56:07.058011+00|10016
2021-09-13 16:56:08.092141+00|66
2021-09-13 16:56:09.125981+00|9560
2021-09-13 16:56:10.157975+00|9701
2021-09-13 16:56:11.191973+00|5226
2021-09-13 16:56:12.223049+00|11079
2021-09-13 16:56:13.254385+00|11336
2021-09-13 16:56:14.285994+00|6342
2021-09-13 16:56:15.31754+00|11357
2021-09-13 16:56:16.349177+00|9961
2021-09-13 16:56:17.382151+00|11688
2021-09-13 16:56:18.414323+00|119
2021-09-13 16:56:19.447419+00|11696
2021-09-13 16:56:20.480337+00|10725
2021-09-13 16:56:21.511509+00|7294
2021-09-13 16:56:22.54287+00|12120
2021-09-13 16:56:23.575247+00|7169
2021-09-13 16:56:24.606749+00|4765
2021-09-13 16:56:25.638266+00|10330
2021-09-13 16:56:26.669458+00|10723
2021-09-13 16:56:27.701459+00|10443
2021-09-13 16:56:28.734126+00|9603
2021-09-13 16:56:29.765536+00|7000
2021-09-13 16:56:30.797059+00|116
2021-09-13 16:56:31.828671+00|11509
2021-09-13 16:56:32.861822+00|11228
2021-09-13 16:56:33.893011+00|6969
2021-09-13 16:56:34.925051+00|11088
2021-09-13 16:56:35.956858+00|10753
2021-09-13 16:56:36.98927+00|11062
2021-09-13 16:56:38.021011+00|11633
2021-09-13 16:56:39.055562+00|12003
2021-09-13 16:56:40.090471+00|11742
2021-09-13 16:56:41.123066+00|11971
2021-09-13 16:56:42.160502+00|6779
2021-09-13 16:56:43.192043+00|11012
2021-09-13 16:56:44.22353+00|8621
2021-09-13 16:56:45.254834+00|6999
2021-09-13 16:56:46.286397+00|4753
2021-09-13 16:56:47.31797+00|8759
2021-09-13 16:56:48.350115+00|8907
2021-09-13 16:56:49.381928+00|11325
2021-09-13 16:56:50.414108+00|11328
2021-09-13 16:56:51.445915+00|9033
2021-09-13 16:56:52.477902+00|11160
2021-09-13 16:56:53.509091+00|11785
2021-09-13 16:56:54.540851+00|6760
2021-09-13 16:56:55.572351+00|12284
2021-09-13 16:56:56.603803+00|11386
2021-09-13 16:56:57.635157+00|11435
2021-09-13 16:56:58.668844+00|10282
