Timestamp|Replay Lag (microseconds)
2021-09-13 16:42:45.359373+00|1104
2021-09-13 16:42:46.401116+00|1642
2021-09-13 16:42:47.436488+00|1609
2021-09-13 16:42:48.471865+00|71
2021-09-13 16:42:49.504031+00|915
2021-09-13 16:42:50.536028+00|987
2021-09-13 16:42:51.57186+00|3862
2021-09-13 16:42:52.604596+00|5692
2021-09-13 16:42:53.638377+00|3249
2021-09-13 16:42:54.670557+00|3415
2021-09-13 16:42:55.705939+00|1661
2021-09-13 16:42:56.739436+00|2826
2021-09-13 16:42:57.775251+00|2329
2021-09-13 16:42:58.80957+00|6216
2021-09-13 16:42:59.841546+00|7681
2021-09-13 16:43:00.873136+00|7491
2021-09-13 16:43:01.905018+00|4941
2021-09-13 16:43:02.936648+00|11052
2021-09-13 16:43:03.968802+00|11301
2021-09-13 16:43:05.00103+00|12069
2021-09-13 16:43:06.033948+00|11235
2021-09-13 16:43:07.06632+00|76
2021-09-13 16:43:08.102329+00|11011
2021-09-13 16:43:09.13706+00|10883
2021-09-13 16:43:10.16926+00|12195
2021-09-13 16:43:11.202715+00|9817
2021-09-13 16:43:12.234653+00|11522
2021-09-13 16:43:13.266193+00|11239
2021-09-13 16:43:14.297833+00|10203
2021-09-13 16:43:15.329844+00|63
2021-09-13 16:43:16.362154+00|7113
2021-09-13 16:43:17.396295+00|10793
2021-09-13 16:43:18.427998+00|11250
2021-09-13 16:43:19.460437+00|7685
2021-09-13 16:43:20.492449+00|11786
2021-09-13 16:43:21.524445+00|6966
2021-09-13 16:43:22.556529+00|11309
2021-09-13 16:43:23.588683+00|11484
2021-09-13 16:43:24.62024+00|12387
2021-09-13 16:43:25.651979+00|4830
2021-09-13 16:43:26.685411+00|64
2021-09-13 16:43:27.717965+00|11797
2021-09-13 16:43:28.749744+00|10963
2021-09-13 16:43:29.781159+00|8316
2021-09-13 16:43:30.814306+00|7017
2021-09-13 16:43:31.845549+00|7755
2021-09-13 16:43:32.87718+00|6964
2021-09-13 16:43:33.908776+00|11220
2021-09-13 16:43:34.941125+00|11332
2021-09-13 16:43:35.972792+00|11735
2021-09-13 16:43:37.004656+00|4559
2021-09-13 16:43:38.035547+00|11306
2021-09-13 16:43:39.067055+00|11453
2021-09-13 16:43:40.098362+00|14738
2021-09-13 16:43:41.132406+00|12492
2021-09-13 16:43:42.164544+00|6225
2021-09-13 16:43:43.196478+00|7029
2021-09-13 16:43:44.22746+00|10081
2021-09-13 16:43:45.259103+00|9794
2021-09-13 16:43:46.290379+00|11545
2021-09-13 16:43:47.32293+00|12458
