Timestamp|Replay Lag (microseconds)
2021-09-13 17:57:27.240008+00|905
2021-09-13 17:57:28.284815+00|133373
2021-09-13 17:57:29.318129+00|461397
2021-09-13 17:57:30.352386+00|830287
2021-09-13 17:57:31.386292+00|968093
2021-09-13 17:57:32.418559+00|1220964
2021-09-13 17:57:33.454195+00|1470875
2021-09-13 17:57:34.488677+00|1638952
2021-09-13 17:57:35.525081+00|1868398
2021-09-13 17:57:36.558119+00|2120344
2021-09-13 17:57:37.592676+00|2051601
2021-09-13 17:57:38.62594+00|2154695
2021-09-13 17:57:39.660385+00|2496006
2021-09-13 17:57:40.692024+00|2697053
2021-09-13 17:57:41.725902+00|2828481
2021-09-13 17:57:42.757563+00|2821372
2021-09-13 17:57:43.789403+00|2579942
2021-09-13 17:57:44.82307+00|1198187
2021-09-13 17:57:45.855252+00|50595
2021-09-13 17:57:46.886788+00|6887
2021-09-13 17:57:47.919379+00|4709
2021-09-13 17:57:48.951498+00|10006
2021-09-13 17:57:49.986121+00|7720
2021-09-13 17:57:51.017988+00|66
2021-09-13 17:57:52.051456+00|10814
2021-09-13 17:57:53.082488+00|10234
2021-09-13 17:57:54.114632+00|11685
2021-09-13 17:57:55.146598+00|12190
2021-09-13 17:57:56.179251+00|10124
2021-09-13 17:57:57.211297+00|10430
2021-09-13 17:57:58.251746+00|75749
2021-09-13 17:57:59.284221+00|110
2021-09-13 17:58:00.319229+00|11443
2021-09-13 17:58:01.351196+00|4511
2021-09-13 17:58:02.383567+00|6808
2021-09-13 17:58:03.414736+00|10685
2021-09-13 17:58:04.446351+00|5104
2021-09-13 17:58:05.47938+00|2659
2021-09-13 17:58:06.514929+00|9678
2021-09-13 17:58:07.549744+00|7933
2021-09-13 17:58:08.583993+00|650762
2021-09-13 17:58:09.616201+00|456379
2021-09-13 17:58:10.651721+00|349600
2021-09-13 17:58:11.683233+00|554554
2021-09-13 17:58:12.715197+00|11371
2021-09-13 17:58:13.746687+00|11428
2021-09-13 17:58:14.778012+00|71
2021-09-13 17:58:15.809583+00|11732
2021-09-13 17:58:16.840963+00|11505
2021-09-13 17:58:17.872864+00|10259
2021-09-13 17:58:18.904779+00|11443
2021-09-13 17:58:19.936251+00|12058
2021-09-13 17:58:20.968185+00|15410
2021-09-13 17:58:21.999422+00|11306
2021-09-13 17:58:23.03132+00|11317
2021-09-13 17:58:24.062864+00|11441
2021-09-13 17:58:25.094404+00|11641
2021-09-13 17:58:26.125498+00|11743
2021-09-13 17:58:27.156735+00|7690
2021-09-13 17:58:28.188447+00|7084
2021-09-13 17:58:29.220657+00|10868
