Timestamp|Replay Lag (microseconds)
2021-09-13 05:24:25.421134+00|2235
2021-09-13 05:24:26.469814+00|287
2021-09-13 05:24:27.503443+00|2696
2021-09-13 05:24:28.5534+00|4225
2021-09-13 05:24:29.589672+00|57976
2021-09-13 05:24:30.622954+00|254
2021-09-13 05:24:31.655419+00|2370
2021-09-13 05:24:32.689125+00|2569
2021-09-13 05:24:33.755544+00|2824
2021-09-13 05:24:34.785079+00|2777
