Timestamp|Replay Lag (microseconds)
2021-09-13 18:50:57.271649+00|3363
2021-09-13 18:50:58.322175+00|175704
2021-09-13 18:50:59.355774+00|307710
2021-09-13 18:51:00.458403+00|773094
2021-09-13 18:51:01.501504+00|1286358
2021-09-13 18:51:02.556055+00|1968997
2021-09-13 18:51:03.598226+00|2593780
2021-09-13 18:51:04.642254+00|3282198
2021-09-13 18:51:05.68764+00|3898651
2021-09-13 18:51:06.728678+00|4655493
2021-09-13 18:51:07.77156+00|4916327
2021-09-13 18:51:08.812428+00|5771873
2021-09-13 18:51:09.855553+00|6509932
2021-09-13 18:51:10.89818+00|7238457
2021-09-13 18:51:11.941469+00|7981419
2021-09-13 18:51:12.973433+00|8332644
2021-09-13 18:51:14.014856+00|9134132
2021-09-13 18:51:15.061953+00|9941803
2021-09-13 18:51:16.111763+00|10604299
2021-09-13 18:51:17.158025+00|11359170
2021-09-13 18:51:18.194656+00|12076723
2021-09-13 18:51:19.235229+00|12600919
2021-09-13 18:51:20.273944+00|13292656
2021-09-13 18:51:21.315378+00|13894032
2021-09-13 18:51:22.353932+00|14311272
2021-09-13 18:51:23.398686+00|14799029
2021-09-13 18:51:24.43658+00|15492764
2021-09-13 18:51:25.471803+00|16011413
2021-09-13 18:51:26.511733+00|16611625
2021-09-13 18:51:27.546136+00|17221411
2021-09-13 18:51:28.589365+00|17949530
2021-09-13 18:51:29.628472+00|18532002
2021-09-13 18:51:30.668916+00|19268243
2021-09-13 18:51:31.709778+00|19823123
2021-09-13 18:51:32.75233+00|20505218
2021-09-13 18:51:33.789659+00|21166567
2021-09-13 18:51:34.83033+00|21450412
2021-09-13 18:51:35.869981+00|22273173
2021-09-13 18:51:36.907606+00|22648376
2021-09-13 18:51:37.947545+00|23546699
2021-09-13 18:51:38.983693+00|24027680
2021-09-13 18:51:40.025492+00|24764708
2021-09-13 18:51:41.070539+00|25349076
2021-09-13 18:51:42.117653+00|26116472
2021-09-13 18:51:43.15631+00|26650835
2021-09-13 18:51:44.192153+00|27350172
2021-09-13 18:51:45.231314+00|27913509
2021-09-13 18:51:46.272109+00|28500464
2021-09-13 18:51:47.316886+00|28775814
2021-09-13 18:51:48.357255+00|29278397
2021-09-13 18:51:49.398057+00|29382303
2021-09-13 18:51:50.442702+00|29997379
2021-09-13 18:51:51.480578+00|30140805
2021-09-13 18:51:52.522733+00|30346319
2021-09-13 18:51:53.559927+00|30607554
2021-09-13 18:51:54.60358+00|30986609
2021-09-13 18:51:55.642472+00|31251178
2021-09-13 18:51:56.682574+00|31608924
2021-09-13 18:51:57.726012+00|31851986
2021-09-13 18:51:58.770831+00|32390610
2021-09-13 18:51:59.810683+00|32724193
