Timestamp|Replay Lag (microseconds)
2021-09-13 22:17:10.967492+00|21554
2021-09-13 22:17:12.01275+00|12920
2021-09-13 22:17:13.046866+00|12355
2021-09-13 22:17:14.081566+00|11591
2021-09-13 22:17:15.114505+00|13025
2021-09-13 22:17:16.150329+00|11486
2021-09-13 22:17:17.184639+00|11638
2021-09-13 22:17:18.221303+00|12410
2021-09-13 22:17:19.256892+00|11934
2021-09-13 22:17:20.293317+00|9945
2021-09-13 22:17:21.32955+00|11892
2021-09-13 22:17:22.364894+00|14021
2021-09-13 22:17:23.401868+00|7313
2021-09-13 22:17:24.438983+00|303459
2021-09-13 22:17:25.472818+00|11430
2021-09-13 22:17:26.507201+00|11767
2021-09-13 22:17:27.542796+00|12927
2021-09-13 22:17:28.577846+00|9812
2021-09-13 22:17:29.614265+00|145401
2021-09-13 22:17:30.649016+00|12768
2021-09-13 22:17:31.684225+00|7652
2021-09-13 22:17:32.719252+00|9968
2021-09-13 22:17:33.752793+00|11397
2021-09-13 22:17:34.821327+00|13292
2021-09-13 22:17:35.855348+00|13280
2021-09-13 22:17:36.891834+00|11854
2021-09-13 22:17:37.923927+00|8300
2021-09-13 22:17:38.958721+00|11894
2021-09-13 22:17:39.992442+00|11750
2021-09-13 22:17:41.026652+00|9811
2021-09-13 22:17:42.060961+00|7470
2021-09-13 22:17:43.095734+00|11355
2021-09-13 22:17:44.128549+00|12359
2021-09-13 22:17:45.162116+00|7917
2021-09-13 22:17:46.198606+00|12661
2021-09-13 22:17:47.232307+00|14395
2021-09-13 22:17:48.269566+00|14769
2021-09-13 22:17:49.307654+00|9186
2021-09-13 22:17:50.34284+00|11695
2021-09-13 22:17:51.378276+00|13019
2021-09-13 22:17:52.412354+00|10950
2021-09-13 22:17:53.446968+00|10012
2021-09-13 22:17:54.480788+00|11613
2021-09-13 22:17:55.517693+00|5503
2021-09-13 22:17:56.553983+00|11656
2021-09-13 22:17:57.588559+00|81
2021-09-13 22:17:58.621969+00|11445
2021-09-13 22:17:59.657786+00|10677
2021-09-13 22:18:00.693741+00|7140
2021-09-13 22:18:01.731183+00|11488
2021-09-13 22:18:02.765639+00|8037
2021-09-13 22:18:03.799402+00|9258
2021-09-13 22:18:04.837594+00|11089
2021-09-13 22:18:05.870087+00|21172
2021-09-13 22:18:06.93359+00|5123
2021-09-13 22:18:07.966988+00|9794
2021-09-13 22:18:09.003889+00|9678
2021-09-13 22:18:10.039692+00|12784
2021-09-13 22:18:11.074933+00|12489
2021-09-13 22:18:12.108349+00|9617
2021-09-13 22:18:13.14244+00|11938
