Timestamp|Replay Lag (microseconds)
2021-09-13 19:13:20.944259+00|21993
2021-09-13 19:13:21.987382+00|321314
2021-09-13 19:13:23.024948+00|913528
2021-09-13 19:13:24.061853+00|1775602
2021-09-13 19:13:25.101376+00|2258250
2021-09-13 19:13:26.142142+00|3156806
2021-09-13 19:13:27.181634+00|4019697
2021-09-13 19:13:28.219466+00|4819341
2021-09-13 19:13:29.258053+00|5473051
2021-09-13 19:13:30.297227+00|5972666
2021-09-13 19:13:31.335708+00|6979671
2021-09-13 19:13:32.375224+00|7349178
2021-09-13 19:13:33.408263+00|8444164
2021-09-13 19:13:34.442383+00|9310958
2021-09-13 19:13:35.477432+00|9995655
2021-09-13 19:13:36.518784+00|10883925
2021-09-13 19:13:37.555287+00|11621029
2021-09-13 19:13:38.590813+00|11729683
2021-09-13 19:13:39.630094+00|13091181
2021-09-13 19:13:40.668137+00|13795216
2021-09-13 19:13:41.740067+00|14322661
2021-09-13 19:13:42.778011+00|15389377
2021-09-13 19:13:43.815143+00|16110192
2021-09-13 19:13:44.851821+00|16881831
2021-09-13 19:13:45.890229+00|17485538
2021-09-13 19:13:46.922785+00|18409071
2021-09-13 19:13:48.050413+00|19165593
2021-09-13 19:13:49.093227+00|20103163
2021-09-13 19:13:50.132943+00|20799600
2021-09-13 19:13:51.173001+00|21664964
2021-09-13 19:13:52.210799+00|22307889
2021-09-13 19:13:53.249295+00|23168544
2021-09-13 19:13:54.288997+00|23756209
2021-09-13 19:13:55.325688+00|24738884
2021-09-13 19:13:56.365557+00|25197938
2021-09-13 19:13:57.410318+00|26303289
2021-09-13 19:13:58.453308+00|27179379
2021-09-13 19:13:59.49633+00|27880454
2021-09-13 19:14:00.538712+00|28705945
2021-09-13 19:14:01.579561+00|29542986
2021-09-13 19:14:02.623485+00|29751886
2021-09-13 19:14:03.667237+00|31046105
2021-09-13 19:14:04.713097+00|31495069
2021-09-13 19:14:05.757529+00|32722000
2021-09-13 19:14:06.79662+00|33462730
2021-09-13 19:14:07.839836+00|34216974
2021-09-13 19:14:08.879862+00|34816896
2021-09-13 19:14:09.922623+00|35944010
2021-09-13 19:14:11.008468+00|36653764
2021-09-13 19:14:12.048393+00|37567469
2021-09-13 19:14:13.090328+00|38321263
2021-09-13 19:14:14.139788+00|38471445
2021-09-13 19:14:15.185326+00|39735075
2021-09-13 19:14:16.22756+00|40606228
2021-09-13 19:14:17.276263+00|41385697
2021-09-13 19:14:18.378529+00|42252378
2021-09-13 19:14:19.421898+00|42340549
2021-09-13 19:14:20.464664+00|42340549
2021-09-13 19:14:21.506817+00|43712118
2021-09-13 19:14:22.54815+00|44819012
2021-09-13 19:14:23.589672+00|45267506
