Timestamp|Replay Lag (microseconds)
2021-09-13 19:04:23.160321+00|2497
2021-09-13 19:04:24.225275+00|248624
2021-09-13 19:04:25.257974+00|787442
2021-09-13 19:04:26.35432+00|1531378
2021-09-13 19:04:27.390749+00|1896796
2021-09-13 19:04:28.427691+00|2708619
2021-09-13 19:04:29.467063+00|3378251
2021-09-13 19:04:30.574995+00|3992766
2021-09-13 19:04:31.612175+00|4779080
2021-09-13 19:04:32.649966+00|5276315
2021-09-13 19:04:33.687339+00|6057951
2021-09-13 19:04:34.724997+00|6420108
2021-09-13 19:04:35.851969+00|7526220
2021-09-13 19:04:36.887619+00|8108724
2021-09-13 19:04:37.926523+00|8973046
2021-09-13 19:04:38.963016+00|9430695
2021-09-13 19:04:39.99911+00|10387603
2021-09-13 19:04:41.033813+00|10821531
2021-09-13 19:04:42.081818+00|11860293
2021-09-13 19:04:43.117695+00|12256765
2021-09-13 19:04:44.167973+00|13123676
2021-09-13 19:04:45.204666+00|13723442
2021-09-13 19:04:46.241652+00|14387261
2021-09-13 19:04:47.313145+00|15130412
2021-09-13 19:04:48.350616+00|15677632
2021-09-13 19:04:49.389835+00|16269782
2021-09-13 19:04:50.427159+00|17000351
2021-09-13 19:04:51.463848+00|17559666
2021-09-13 19:04:52.526684+00|18334450
2021-09-13 19:04:53.5651+00|18913559
2021-09-13 19:04:54.60183+00|19565663
2021-09-13 19:04:55.639936+00|20161354
2021-09-13 19:04:56.676223+00|20848547
2021-09-13 19:04:57.715678+00|20837664
2021-09-13 19:04:58.751241+00|21585823
2021-09-13 19:04:59.788066+00|22168014
2021-09-13 19:05:00.829086+00|23004188
2021-09-13 19:05:01.873121+00|23627574
2021-09-13 19:05:02.917394+00|24318192
2021-09-13 19:05:03.961858+00|24857574
2021-09-13 19:05:04.996655+00|25790351
2021-09-13 19:05:06.038785+00|26429478
2021-09-13 19:05:07.085329+00|26780035
2021-09-13 19:05:08.127349+00|27779023
2021-09-13 19:05:09.168403+00|28340718
2021-09-13 19:05:10.212902+00|29028501
2021-09-13 19:05:11.255131+00|29283961
2021-09-13 19:05:12.298091+00|29986301
2021-09-13 19:05:13.343209+00|30675174
2021-09-13 19:05:14.386662+00|31294266
2021-09-13 19:05:15.43351+00|31872452
2021-09-13 19:05:16.473038+00|32510034
2021-09-13 19:05:17.595196+00|33076643
2021-09-13 19:05:18.635988+00|33853722
2021-09-13 19:05:19.671874+00|34453853
2021-09-13 19:05:20.715211+00|35363002
2021-09-13 19:05:21.752779+00|35747311
2021-09-13 19:05:22.793939+00|36648203
2021-09-13 19:05:23.833657+00|37408813
2021-09-13 19:05:24.871028+00|37487900
2021-09-13 19:05:25.909705+00|37829637
