Timestamp|Replay Lag (microseconds)
2021-09-13 19:08:51.681242+00|2589
2021-09-13 19:08:52.726831+00|339813
2021-09-13 19:08:53.763089+00|827814
2021-09-13 19:08:54.798701+00|1678288
2021-09-13 19:08:55.833289+00|2040968
2021-09-13 19:08:56.869557+00|2957414
2021-09-13 19:08:57.906064+00|3333104
2021-09-13 19:08:58.944183+00|4450089
2021-09-13 19:08:59.984197+00|5393507
2021-09-13 19:09:01.022434+00|6151455
2021-09-13 19:09:02.070878+00|6808012
2021-09-13 19:09:03.110179+00|7528445
2021-09-13 19:09:04.150634+00|8147041
2021-09-13 19:09:05.190032+00|8960458
2021-09-13 19:09:06.269928+00|9470155
2021-09-13 19:09:07.353868+00|10651873
2021-09-13 19:09:08.389041+00|11338578
2021-09-13 19:09:09.425504+00|12104005
2021-09-13 19:09:10.46244+00|12751918
2021-09-13 19:09:11.500499+00|13561734
2021-09-13 19:09:12.536916+00|14348973
2021-09-13 19:09:13.575762+00|15111284
2021-09-13 19:09:14.61018+00|15766609
2021-09-13 19:09:15.648118+00|16600862
2021-09-13 19:09:16.782365+00|17298391
2021-09-13 19:09:17.823256+00|17826631
2021-09-13 19:09:18.861322+00|18796989
2021-09-13 19:09:19.900348+00|19158338
2021-09-13 19:09:20.934759+00|20357359
2021-09-13 19:09:21.972382+00|20651638
2021-09-13 19:09:23.012236+00|21737907
2021-09-13 19:09:24.053109+00|22678295
2021-09-13 19:09:25.098103+00|23429319
2021-09-13 19:09:26.143325+00|24250798
2021-09-13 19:09:27.180855+00|24953105
2021-09-13 19:09:28.220421+00|25097029
2021-09-13 19:09:29.263915+00|26467537
2021-09-13 19:09:30.307365+00|26809350
2021-09-13 19:09:31.346978+00|28001205
2021-09-13 19:09:32.387072+00|28765299
2021-09-13 19:09:33.430523+00|29350288
2021-09-13 19:09:34.472828+00|29735078
2021-09-13 19:09:35.517062+00|30899615
2021-09-13 19:09:36.560362+00|31376898
2021-09-13 19:09:37.605275+00|32344010
2021-09-13 19:09:38.667951+00|33002357
2021-09-13 19:09:39.710134+00|33842548
2021-09-13 19:09:40.751682+00|34370394
2021-09-13 19:09:41.796689+00|35035168
2021-09-13 19:09:42.838592+00|35248602
2021-09-13 19:09:43.879698+00|35541402
2021-09-13 19:09:44.921878+00|36655676
2021-09-13 19:09:45.961029+00|37277157
2021-09-13 19:09:47.006533+00|37978379
2021-09-13 19:09:48.047947+00|38752420
2021-09-13 19:09:49.088069+00|39405761
2021-09-13 19:09:50.135894+00|40280503
2021-09-13 19:09:51.176458+00|40841485
2021-09-13 19:09:52.220964+00|41691914
2021-09-13 19:09:53.263307+00|42245913
2021-09-13 19:09:54.306557+00|43036167
