Timestamp|Replay Lag (microseconds)
2021-09-13 22:12:42.039907+00|2542
2021-09-13 22:12:43.083083+00|9076
2021-09-13 22:12:44.116742+00|13093
2021-09-13 22:12:45.151476+00|13067
2021-09-13 22:12:46.184829+00|11759
2021-09-13 22:12:47.22054+00|12729
2021-09-13 22:12:48.256973+00|11403
2021-09-13 22:12:49.294447+00|12199
2021-09-13 22:12:50.333722+00|7322
2021-09-13 22:12:51.369458+00|10600
2021-09-13 22:12:52.418915+00|6505
2021-09-13 22:12:53.452991+00|11541
2021-09-13 22:12:54.488806+00|10324
2021-09-13 22:12:55.522665+00|11546
2021-09-13 22:12:56.559937+00|15746
2021-09-13 22:12:57.595311+00|15100
2021-09-13 22:12:58.630253+00|8630
2021-09-13 22:12:59.663482+00|12842
2021-09-13 22:13:00.697262+00|11495
2021-09-13 22:13:01.828105+00|5918
2021-09-13 22:13:02.863464+00|10785
2021-09-13 22:13:03.898528+00|9707
2021-09-13 22:13:04.933589+00|12782
2021-09-13 22:13:05.967904+00|10806
2021-09-13 22:13:07.003552+00|12599
2021-09-13 22:13:08.038123+00|6722
2021-09-13 22:13:09.081673+00|91575
2021-09-13 22:13:10.114705+00|13126
2021-09-13 22:13:11.15077+00|11579
2021-09-13 22:13:12.184456+00|14137
2021-09-13 22:13:13.219175+00|7714
2021-09-13 22:13:14.254405+00|20361
2021-09-13 22:13:15.292306+00|11663
2021-09-13 22:13:16.327739+00|12975
2021-09-13 22:13:17.36295+00|12633
2021-09-13 22:13:18.398609+00|11869
2021-09-13 22:13:19.434716+00|13378
2021-09-13 22:13:20.469732+00|11430
2021-09-13 22:13:21.502666+00|16707
2021-09-13 22:13:22.535355+00|7953
2021-09-13 22:13:23.569796+00|11619
2021-09-13 22:13:24.604258+00|10099
2021-09-13 22:13:25.639261+00|11850
2021-09-13 22:13:26.724871+00|5407
2021-09-13 22:13:27.760182+00|7544
2021-09-13 22:13:28.79764+00|7912
2021-09-13 22:13:29.831526+00|13163
2021-09-13 22:13:30.866005+00|11489
2021-09-13 22:13:31.900476+00|12692
2021-09-13 22:13:32.934757+00|100
2021-09-13 22:13:33.970127+00|9363
2021-09-13 22:13:35.009832+00|12208
2021-09-13 22:13:36.045711+00|11825
2021-09-13 22:13:37.081524+00|12009
2021-09-13 22:13:38.115502+00|11678
2021-09-13 22:13:39.152061+00|8327
2021-09-13 22:13:40.187352+00|11280
2021-09-13 22:13:41.223339+00|9881
2021-09-13 22:13:42.2573+00|12636
2021-09-13 22:13:43.293821+00|11868
2021-09-13 22:13:44.391346+00|5753
