Timestamp|Replay Lag (microseconds)
2021-09-13 18:59:53.732482+00|2758
2021-09-13 18:59:54.775906+00|200546
2021-09-13 18:59:55.852284+00|636964
2021-09-13 18:59:56.889855+00|1415445
2021-09-13 18:59:57.928903+00|1715763
2021-09-13 18:59:58.963426+00|2380829
2021-09-13 19:00:00.001476+00|2911670
2021-09-13 19:00:01.03784+00|3293944
2021-09-13 19:00:02.079788+00|3888102
2021-09-13 19:00:03.128433+00|4343639
2021-09-13 19:00:04.162133+00|5028072
2021-09-13 19:00:05.197712+00|5364487
2021-09-13 19:00:06.235286+00|6080202
2021-09-13 19:00:07.360815+00|6660845
2021-09-13 19:00:08.40129+00|7443135
2021-09-13 19:00:09.436785+00|8015633
2021-09-13 19:00:10.472163+00|8147639
2021-09-13 19:00:11.508318+00|8916689
2021-09-13 19:00:12.546053+00|9675338
2021-09-13 19:00:13.58488+00|10055058
2021-09-13 19:00:14.620779+00|10458142
2021-09-13 19:00:15.655913+00|11024535
2021-09-13 19:00:16.691912+00|11450682
2021-09-13 19:00:17.729517+00|12119586
2021-09-13 19:00:18.783838+00|12733883
2021-09-13 19:00:19.820766+00|13348653
2021-09-13 19:00:20.85811+00|13657103
2021-09-13 19:00:21.897173+00|13633288
2021-09-13 19:00:22.934931+00|14058625
2021-09-13 19:00:23.999606+00|14704949
2021-09-13 19:00:25.03619+00|14932137
2021-09-13 19:00:26.076701+00|15492168
2021-09-13 19:00:27.123947+00|16109428
2021-09-13 19:00:28.164532+00|16852882
2021-09-13 19:00:29.201919+00|17353707
2021-09-13 19:00:30.237386+00|17541520
2021-09-13 19:00:31.275431+00|17805868
2021-09-13 19:00:32.313846+00|18063739
2021-09-13 19:00:33.358124+00|18948555
2021-09-13 19:00:34.401753+00|19249161
2021-09-13 19:00:35.446527+00|20050855
2021-09-13 19:00:36.488971+00|20426543
2021-09-13 19:00:37.530556+00|21246306
2021-09-13 19:00:38.574769+00|21674998
2021-09-13 19:00:39.615241+00|22413953
2021-09-13 19:00:40.752249+00|22926289
2021-09-13 19:00:41.795072+00|23693169
2021-09-13 19:00:42.837504+00|23624639
2021-09-13 19:00:43.87833+00|24227855
2021-09-13 19:00:44.921876+00|24673635
2021-09-13 19:00:45.958667+00|24958850
2021-09-13 19:00:47.00284+00|25994690
2021-09-13 19:00:48.039873+00|26670113
2021-09-13 19:00:49.084466+00|27163934
2021-09-13 19:00:50.125957+00|27841294
2021-09-13 19:00:51.165549+00|28323615
2021-09-13 19:00:52.212095+00|28820074
2021-09-13 19:00:53.253056+00|29009111
2021-09-13 19:00:54.290555+00|29762599
2021-09-13 19:00:55.329488+00|30309337
2021-09-13 19:00:56.366709+00|30844193
